Date,Open,High,Low,Close,Adj Close,Volume
12/20/2004,39.57,39.93,39.09,39.759998,34.827587,310662300
12/27/2004,39.98,40.16,39.400002,39.919998,34.967731,262145500
1/3/2005,40.09,40.290001,38.209999,38.549999,33.7677,591558200
1/10/2005,38.439999,38.869999,38.009998,38.43,33.66259,518361200
1/17/2005,38.279999,38.790001,36.990002,37.049999,32.45377,456274500
1/24/2005,37.119999,37.290001,36.459999,36.919998,32.339905,579439400
1/31/2005,37.360001,37.82,37,37.75,33.066933,455370600
2/7/2005,37.799999,38.009998,36.880001,37.700001,33.02314,456706800
2/14/2005,37.700001,38.48,37.259998,37.349998,32.71656,451376400
2/21/2005,37.029999,37.700001,36.700001,37.619999,32.95306,395565400
2/28/2005,37.459999,38.02,36.919998,37.52,32.865467,457878600
3/7/2005,37.599998,38.290001,37.02,37.169998,32.558887,481123200
3/14/2005,37.240002,37.48,36.349998,36.509998,31.980753,528339500
3/21/2005,36.599998,36.75,36.07,36.27,31.770559,381780500
3/28/2005,36.41,36.880001,35.939999,36.200001,31.709219,524397500
4/4/2005,36.25,37.07,36.029999,36.639999,32.094639,429476700
4/11/2005,36.75,36.779999,34.68,34.740002,30.430336,652891200
4/18/2005,34.709999,35.709999,34.59,35.09,30.736925,586965400
4/25/2005,35.299999,35.700001,34.349998,34.98,30.640572,532286000
5/2/2005,35.099998,36.02,34.889999,35.860001,31.41139,418210000
5/9/2005,35.869999,36.470001,35.299999,36.240002,31.744259,525321200
5/16/2005,36.240002,37.689999,36.130001,37.66,32.988102,458014800
5/23/2005,37.66,38.27,37.59,38.209999,33.469875,404512500
5/30/2005,38.189999,38.68,37.919998,38.099998,33.37352,359082100
6/6/2005,38.119999,38.470001,37.380001,37.549999,32.891762,426201700
6/13/2005,37.48,38.209999,37.25,37.869999,33.172054,423242700
6/20/2005,37.720001,38.18,36.959999,36.970001,32.413635,504954100
6/27/2005,36.950001,37.259998,36.68,36.73,32.203209,360683200
7/4/2005,36.599998,37.810001,36.549999,37.77,33.11504,379176700
7/11/2005,37.869999,39,37.799999,38.889999,34.097004,420852800
7/18/2005,38.790001,39.689999,38.689999,39.419998,34.561695,426890600
7/25/2005,39.459999,39.919998,39.189999,39.580002,34.701969,338438100
8/1/2005,39.639999,40.139999,39.43,39.48,34.614288,339013800
8/8/2005,39.52,39.689999,38.970001,39.209999,34.37756,406690500
8/15/2005,39.139999,39.630001,38.740002,38.82,34.035637,356711300
8/22/2005,38.880001,39.18,38.27,38.459999,33.719997,356734400
8/29/2005,38.259998,39.150002,38.259998,38.77,33.991795,383869600
9/5/2005,38.950001,39.689999,38.900002,39.619999,34.737019,284418500
9/12/2005,39.630001,39.91,39.049999,39.400002,34.544136,367935300
9/19/2005,39.32,39.540001,38.240002,38.75,33.974243,493834700
9/26/2005,38.970001,39.48,38.450001,39.459999,34.596748,402344700
10/3/2005,39.540001,39.880001,37.919998,38.34,33.614784,526520000
10/10/2005,38.27,38.459999,37.330002,38.060001,33.369301,594891200
10/17/2005,38.07,38.849998,37.610001,38.549999,33.798904,527639600
10/24/2005,38.73,39.27,37.919998,38.32,33.59724,514839800
10/31/2005,38.450001,40.23,38.419998,40.080002,35.140339,528189800
11/7/2005,40.209999,40.919998,39.919998,40.709999,35.692692,417463300
11/14/2005,40.77,41.650002,40.380001,41.450001,36.341507,402337300
11/21/2005,41.400002,42.02,41.240002,41.889999,36.727268,245576800
11/28/2005,42,42.130001,41.189999,42.110001,36.920155,405046900
12/5/2005,42.060001,42.310001,41.27,41.720001,36.578228,395484900
12/12/2005,41.869999,42.209999,41.549999,41.580002,36.455467,331407000
12/19/2005,41.669998,41.709999,40.75,41.400002,36.385216,311684300
12/26/2005,41.52,41.68,40.360001,40.41,35.515137,213286900
1/2/2006,40.650002,42.700001,40.16,42.68,37.510159,389830600
1/9/2006,42.68,43.310001,42.52,42.98,37.773827,412900900
1/16/2006,42.650002,42.82,41.150002,41.25,36.253387,498647400
1/23/2006,41.360001,42.389999,41.080002,42.110001,37.009216,512596200
1/30/2006,42.18,42.32,40.779999,40.919998,35.963348,459241000
2/6/2006,40.720001,41.369999,40.259998,40.959999,35.998505,416186900
2/13/2006,40.700001,41.549999,40.299999,41.209999,36.218235,442867500
2/20/2006,41.209999,41.540001,40.610001,41.259998,36.262177,300687800
2/27/2006,41.360001,42.009998,40.970001,41.450001,36.429173,445394500
3/6/2006,41.540001,41.630001,40.189999,40.560001,35.646976,533015600
3/13/2006,40.740002,41.919998,40.619999,41.450001,36.429173,451336700
3/20/2006,41.57,42.009998,40.82,41.299999,36.322784,466042600
3/27/2006,41.279999,42.299999,40.990002,41.93,36.876869,472582500
4/3/2006,42.150002,43.049999,41.900002,42.32,37.219879,470628600
4/10/2006,42.400002,42.5,41.709999,42.099998,37.026382,272691900
